Walk On Water,Walk On Water,Can't Hold Us feat. Ray Dalton,Counting Stars,Thinking out Loud,There's Nothing Holdin' Me Back,Havana feat. Young Thug,Take Me To Church,Wake Me Up - Radio Edit,Stressed Out,Don't Start Now,gzip,reverb,60
Man On the Moon,Man On the Moon,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Say You Won't Let Go,Do I Wanna Know?,Counting Stars,Bohemian Rhapsody - Remastered 2011,Treat You Better,Too Good At Goodbyes,Viva La Vida,gzip,reverb,60
In the End,In the End,Mr. Brightside,Choke,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Smells Like Teen Spirit,No Role Modelz,SICKO MODE,God's Plan,gzip,reverb,60
Riptide,Riptide,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Choke,God's Plan,That's What I Like,In the End,No Role Modelz,Bohemian Rhapsody - Remastered 2011,Viva La Vida,gzip,reverb,60
Someone You Loved,Someone You Loved,Viva La Vida,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,STAY with Justin Bieber,Can't Hold Us feat. Ray Dalton,Believer,That's What I Like,Mr. Brightside,In the End,gzip,reverb,60
Just the Way You Are,Just the Way You Are,Can't Hold Us feat. Ray Dalton,Too Good At Goodbyes,In the End,Havana feat. Young Thug,No Role Modelz,Smells Like Teen Spirit,SICKO MODE,Bohemian Rhapsody - Remastered 2011,Thunder,gzip,reverb,60
Unforgettable,Unforgettable,Can't Hold Us feat. Ray Dalton,Counting Stars,Choke,Die For You,No Role Modelz,Lose Yourself,Treat You Better,Ether,Without Me,gzip,reverb,60
God's Plan,Can't Hold Us feat. Ray Dalton,God's Plan,No Role Modelz,Riptide,Havana feat. Young Thug,SICKO MODE,goosebumps,That's What I Like,Thunder,Choke,gzip,reverb,60
SICKO MODE,Can't Hold Us feat. Ray Dalton,rockstar,SICKO MODE,Havana feat. Young Thug,In the End,God's Plan,That's What I Like,Riptide,No Role Modelz,Believer,gzip,reverb,60
Lean On feat,Lean On feat. MØ & DJ Snake,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Smells Like Teen Spirit,Bohemian Rhapsody - Remastered 2011,Too Good At Goodbyes,No Role Modelz,Choke,Do I Wanna Know?,SICKO MODE,gzip,reverb,60
Without Me with Juice WRLD,Without Me with Juice WRLD,Can't Hold Us feat. Ray Dalton,Die For You,My Goodbye,Havana feat. Young Thug,In the End,Counting Stars,That's What I Like,God's Plan,INDUSTRY BABY feat. Jack Harlow,gzip,reverb,60
Lucid Dreams,Lucid Dreams,Can't Hold Us feat. Ray Dalton,The Night We Met,My Goodbye,Shape of You,There's Nothing Holdin' Me Back,Havana feat. Young Thug,Counting Stars,Thinking out Loud,Die For You,gzip,reverb,60
